,Game ID,Date,Team,Score,Possession - Overall,Possession - 1st half,Possession - 2nd half,Tries,Conversions,Penalties,Metres,Defenders Beaten,Clean breaks,Gain line Carries,Passes,Offloads,Turnovers won,Kicks from Hand,Rucks Won,Tackles Made,Tackles Missed,Goal Kicks Successful,Goal Kicks Attempted,Rucks Successful,Total Rucks,Lineouts Successful,Lineouts Thrown,Scrums Successful,Scrums Total,Penalties Conceded Own Half,Penalties Conceded Opp Half,Yellow Cards,Red Cards,% Rucks Successful,% Goal kicks Successful,% Scrums Successful,% Tackle Successful,Outcome
37,87863,30-Sep-2023,Romania,-84.0,-18.0,-46.0,8.0,-12.0,-12.0,0.0,-852.0,-60.0,-24.0,-82.0,-192.0,-25.0,-2.0,3.0,-25.0,36.0,60.0,-12.0,-11.0,-25.0,-25.0,-4.0,-3.0,5.0,3.0,0.0,-1.0,3.0,0.0,-0.006825006825006752,-1.0,0.5,-0.2214216346605683,0.0
38,87862,30-Sep-2023,Fiji,5.0,10.0,6.0,16.0,2.0,2.0,-3.0,10.0,-11.0,-1.0,6.0,54.0,4.0,1.0,-5.0,38.0,-88.0,11.0,-1.0,1.0,38.0,35.0,4.0,7.0,2.0,5.0,0.0,-5.0,2.0,0.0,0.04997463216641318,-0.4,-0.1826923076923077,-0.1260701463684064,1.0
39,87862,30-Sep-2023,Georgia,-5.0,-10.0,-6.0,-16.0,-2.0,-2.0,3.0,-10.0,11.0,1.0,-6.0,-54.0,-4.0,-1.0,5.0,-38.0,88.0,-11.0,1.0,-1.0,-38.0,-35.0,-4.0,-7.0,-2.0,-5.0,0.0,5.0,-2.0,0.0,-0.04997463216641318,0.4,0.1826923076923077,0.1260701463684064,0.0
40,87861,30-Sep-2023,Argentina,54.0,20.0,20.0,20.0,7.0,8.0,1.0,398.0,23.0,9.0,54.0,80.0,7.0,-4.0,4.0,33.0,-81.0,-23.0,9.0,7.0,33.0,34.0,12.0,9.0,3.0,4.0,-4.0,1.0,1.0,0.0,0.009803921568627638,1.0,0.04761904761904767,0.0174603174603174,1.0
41,87861,30-Sep-2023,Chile,-54.0,-20.0,-20.0,-20.0,-7.0,-8.0,-1.0,-398.0,-23.0,-9.0,-54.0,-80.0,-7.0,4.0,-4.0,-33.0,81.0,23.0,-9.0,-7.0,-33.0,-34.0,-12.0,-9.0,-3.0,-4.0,4.0,-1.0,-1.0,0.0,-0.009803921568627638,-1.0,-0.04761904761904767,-0.0174603174603174,0.0
42,87860,29-Sep-2023,New Zealand,79.0,14.0,38.0,-12.0,12.0,11.0,-1.0,361.0,17.0,14.0,48.0,24.0,10.0,5.0,14.0,3.0,-17.0,-17.0,10.0,11.0,3.0,-1.0,9.0,4.0,3.0,-2.0,-4.0,-3.0,0.0,0.0,0.055359937402190806,-0.0714285714285714,0.5833333333333334,0.07982850142915476,1.0
43,87860,29-Sep-2023,Italy,-79.0,-14.0,-38.0,12.0,-12.0,-11.0,1.0,-361.0,-17.0,-14.0,-48.0,-24.0,-10.0,-5.0,-14.0,-3.0,17.0,17.0,-10.0,-11.0,-3.0,1.0,-9.0,-4.0,-3.0,2.0,4.0,3.0,0.0,0.0,-0.055359937402190806,0.0714285714285714,-0.5833333333333334,-0.07982850142915476,0.0
44,87859,28-Sep-2023,Japan,6.0,-14.0,-24.0,-4.0,0.0,0.0,2.0,-15.0,-10.0,4.0,-25.0,-28.0,-13.0,-3.0,7.0,-52.0,98.0,10.0,2.0,1.0,-52.0,-51.0,5.0,5.0,4.0,7.0,0.0,-2.0,0.0,-1.0,-0.03132318501170961,0.2333333333333334,-0.25,0.055696661828737226,1.0
45,87859,28-Sep-2023,Samoa,-6.0,14.0,24.0,4.0,0.0,0.0,-2.0,15.0,10.0,-4.0,25.0,28.0,13.0,3.0,-7.0,52.0,-98.0,-10.0,-2.0,-1.0,52.0,51.0,-5.0,-5.0,-4.0,-7.0,0.0,2.0,0.0,1.0,0.03132318501170961,-0.2333333333333334,0.25,-0.055696661828737226,0.0
46,87858,27-Sep-2023,Uruguay,10.0,12.0,2.0,22.0,3.0,2.0,-3.0,15.0,16.0,3.0,9.0,1.0,3.0,-1.0,4.0,0.0,-13.0,-16.0,-1.0,0.0,0.0,0.0,3.0,4.0,6.0,5.0,-7.0,-1.0,-1.0,-1.0,0.0,-0.16666666666666663,0.19999999999999996,0.07649769585253463,1.0
