,date,Team A,Team B,Score A,Score B,Tourn,Venue,City,Neut.,Country,elo_home,elo_away,proba_home_win,elo_gap,outcome
112,1896-03-14,Scotland,England,11,0,Home_Nations_Championship,,Glasgow,True,,1049.3110553736449,1026.6460018988146,0.5325714429040472,22.6650534748303,1.0
113,1896-03-14,Ireland,Wales,8,4,Home_Nations_Championship,Belfast,England,True,,971.267761606888,952.7751811206521,0.5265878595456979,18.492580486235966,1.0
114,1896-03-14,Scotland,England,11,0,Home_Nations_Championship,Old Hampden Park,Glasgow,True,,1084.9508894415194,991.00616783094,0.6319960073324941,93.94472161057945,1.0
115,1896-03-14,Ireland,Wales,8,4,Home_Nations_Championship,,Dublin,True,,994.6906264594157,929.3523162681244,0.5929363624027385,65.33831019129138,1.0
116,1897-01-09,Wales,England,11,0,Home_Nations_Championship,,Newport,True,,909.6286410865695,963.818995800995,0.4226401167697374,-54.19035471442555,1.0
117,1897-01-09,Wales,England,11,0,Home_Nations_Championship,Rodney Parade,Newport,True,,953.034711462506,920.4129254250585,0.5468090499711267,32.62178603744758,1.0
118,1897-02-06,Ireland,England,13,9,Home_Nations_Championship,Lansdowne Road,Dublin,True,,1014.4143016409706,886.0127606120044,0.6768074818158131,128.40154102896622,1.0
119,1897-02-06,Ireland,England,13,9,Home_Nations_Championship,,Dublin,True,,1029.6499879581017,870.7770742948732,0.7139295148425834,158.8729136632286,1.0
120,1897-02-20,Scotland,Ireland,8,3,Home_Nations_Championship,Powderhall,Edinburgh,True,,1112.1380614714644,1042.961491471912,0.5982580816373217,69.17656999955238,1.0
121,1897-02-20,Scotland,Ireland,8,3,Home_Nations_Championship,,Edinburgh,True,,1133.7723661361383,1021.327186807238,0.6563987178429292,112.44517932890028,1.0
122,1897-03-13,England,Scotland,12,3,Home_Nations_Championship,,Manchester,True,,857.4655707810629,1151.9295049127447,0.15511016195824934,-294.46393413168187,1.0
123,1897-03-13,England,Scotland,12,3,Home_Nations_Championship,Fallowfield,Manchester,True,,910.6547049601652,1098.7403707336425,0.252993871234557,-188.08566577347733,1.0
124,1898-02-05,England,Ireland,6,9,Home_Nations_Championship,,Richmond,True,,959.7765110647605,1003.1700480306316,0.4378743810056296,-43.393536965871135,0.0
125,1898-02-05,England,Ireland,6,9,Home_Nations_Championship,Athletic Ground,Richmond,True,,941.3227920569051,1021.623767038487,0.3864522992246863,-80.30097498158193,0.0
126,1898-02-19,Ireland,Scotland,0,8,Home_Nations_Championship,Balmoral Showgrounds,Belfast,True,,1037.6467567538787,1049.6185646290473,0.48277799904939706,-11.971807875168679,0.0
127,1898-02-19,Ireland,Scotland,0,8,Home_Nations_Championship,,Belfast,True,,1004.9408114732031,1082.3245099097228,0.3904415948076729,-77.3836984365197,0.0
128,1898-03-12,Scotland,England,3,3,Home_Nations_Championship,,Edinburgh,True,,1108.0153729146457,925.2998023415134,0.7411195109484395,182.71557057313225,0.5
129,1898-03-12,Ireland,Wales,3,11,Home_Nations_Championship,,Limerick,True,,979.2499484682801,987.4348762755601,0.48822312060984707,-8.184927807280019,0.0
130,1898-03-12,Scotland,England,3,3,Home_Nations_Championship,Powderhall,Edinburgh,True,,1108.0153729146457,925.2998023415134,0.7411195109484395,182.71557057313225,0.5
131,1898-03-18,Ireland,Wales,3,11,Home_Nations_Championship,Limerick Lawn Tennis Club,Limerick,True,,946.1184007636681,1020.5664239801721,0.39447089446640815,-74.448023216504,0.0
132,1898-04-02,England,Wales,14,7,Home_Nations_Championship,,London,True,,925.2998023415134,1046.5559148115012,0.33225440656951766,-121.25611246998778,1.0
133,1898-04-02,England,Wales,14,7,Home_Nations_Championship,Rectory Field,Blackheath,True,,966.0959411483117,1005.759776004703,0.4431658434262729,-39.663834856391304,1.0
134,1899-01-07,Wales,England,26,3,Home_Nations_Championship,St Helens,Swansea,True,,970.5004407318049,1001.3552764212097,0.45571268848860325,-30.85483568940481,1.0
135,1899-01-07,Wales,England,26,3,Home_Nations_Championship,,Swansea,True,,1023.3817893962323,948.4739277567824,0.6061612107724073,74.90786163944995,1.0
136,1899-02-04,Ireland,England,6,0,Home_Nations_Championship,,Dublin,True,,920.1289099323391,910.9506904627553,0.5132054478736121,9.178219469583723,1.0
137,1899-02-04,Ireland,England,6,0,Home_Nations_Championship,Lansdowne Road,Dublin,True,,949.3719227267362,881.7076776683582,0.5961639429301813,67.66424505837801,1.0
138,1899-02-18,Scotland,Ireland,3,9,Home_Nations_Championship,,Edinburgh,True,,1108.0153729146457,973.0057195860562,0.6850715980509096,135.00965332858948,0.0
139,1899-02-18,Scotland,Ireland,3,9,Home_Nations_Championship,Inverleith,Edinburgh,True,,1069.0790943609722,1011.9419981397295,0.5814935468712283,57.1370962212427,0.0
140,1899-03-04,Scotland,Wales,21,10,Home_Nations_Championship,,Edinburgh,True,,1034.8894865645134,1060.9050266902593,0.4626304436445649,-26.01554012574593,1.0
141,1899-03-04,Scotland,Wales,21,10,Home_Nations_Championship,Inverleith,Edinburgh,True,,1075.800413512659,1019.9940997421138,0.5796281170902144,55.8063137705451,1.0
142,1899-03-11,England,Scotland,0,5,Home_Nations_Championship,Rectory Field,Blackheath,True,,858.0738808090382,1107.381444594075,0.19230067564572834,-249.3075637850368,0.0
143,1899-03-11,England,Scotland,0,5,Home_Nations_Championship,,London,True,,848.4798398226786,1116.9754855804345,0.17572482044850699,-268.4956457577558,0.0
144,1899-03-18,Wales,Ireland,0,3,Home_Nations_Championship,,Cardiff,True,,988.4130686606976,1046.1316059361884,0.41769214344304967,-57.7185372754908,0.0
145,1899-03-18,Wales,Ireland,0,3,Home_Nations_Championship,Cardiff Arms Park,Cardiff,True,,970.9215974723768,1063.6230771245093,0.36967003801186543,-92.70147965213255,0.0
146,1900-01-06,England,Wales,3,13,Home_Nations_Championship,,Gloucester,True,,839.7809300602639,955.6773295763429,0.33913455627056954,-115.89639951607899,0.0
147,1900-01-06,England,Wales,3,13,Home_Nations_Championship,Kingsholm,Gloucester,True,,815.8330263477014,979.6252332889054,0.28032224455118243,-163.79220694120397,0.0
148,1900-01-27,Wales,Scotland,12,3,Home_Nations_Championship,,Swansea,True,,999.0190305639469,1125.674395342849,0.32539513570684536,-126.65536477890214,1.0
149,1900-01-27,Wales,Scotland,12,3,Home_Nations_Championship,St Helen's,Swansea,True,,1044.5511088033584,1080.1423171034376,0.4489585504398073,-35.59120830007919,1.0
150,1900-02-03,England,Ireland,15,4,Home_Nations_Championship,,Richmond,True,,796.4392290726599,1078.867345020543,0.16440832811103728,-282.42811594788316,1.0
151,1900-02-03,England,Ireland,15,4,Home_Nations_Championship,Richmond,Scotland,True,,853.4834790493654,1021.8230950438376,0.275071747176466,-168.33961599447218,1.0
152,1900-02-24,Ireland,Scotland,0,0,Home_Nations_Championship,,Dublin,True,,969.9496012975734,1041.4351009066734,0.3985516374825265,-71.48549960909997,0.5
153,1900-02-24,Ireland,Scotland,0,0,Home_Nations_Championship,Lansdowne Road,Dublin,True,,969.9496012975734,1041.4351009066734,0.3985516374825265,-71.48549960909997,0.5
154,1900-03-10,Scotland,England,0,0,Home_Nations_Championship,Inverleith,Edinburgh,True,,1041.4351009066734,905.3569727956296,0.6863970754257,136.07812811104372,0.5
155,1900-03-10,Scotland,England,0,0,Home_Nations_Championship,,Edinburgh,True,,1041.4351009066734,905.3569727956296,0.6863970754257,136.07812811104372,0.5
156,1900-03-17,Ireland,Wales,0,3,Home_Nations_Championship,Belfast,Scotland,True,,969.9496012975734,1083.2583250001226,0.3424810076569841,-113.30872370254917,0.0
157,1900-03-17,Ireland,Wales,0,3,Home_Nations_Championship,,Belfast,True,,955.9523510100753,1097.2555752876208,0.30716501459438,-141.3032242775455,0.0
158,1901-01-01,Scotland,Wales,18,8,Home_Nations_Championship,,Edinburgh,True,,1041.4351009066734,1109.6593513579962,0.40306019643166735,-68.22425045132286,1.0
